Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000198755,RPL10A,Gene Expression,0.1605614562886115,0.0,0.0,6961,0.5964321659126537,1514
ENSG00000130600,H19,Gene Expression,0.160134873621969,0.0,0.0,824,0.2561838510637525,586
ENSG00000196262,PPIA,Gene Expression,0.15801222307808058,0.0,0.0,11074,0.7189045944750035,1682
ENSG00000163216,SPRR2D,Gene Expression,0.1568750196579164,0.0,0.0,8464,0.607725363852159,1314
ENSG00000122026,RPL21,Gene Expression,0.1560591315309496,0.0,0.0,20097,2.232715142924253,2648
ENSG00000197956,S100A6,Gene Expression,0.1555379062827021,0.0,0.0,9507,1.1257106602593927,2064
ENSG00000011465,DCN,Gene Expression,0.15465109091887821,0.0,0.0,2041,0.5302673124712872,1251
ENSG00000198034,RPS4X,Gene Expression,0.1539476254555552,0.0,0.0,12629,0.9992093778179149,1935
ENSG00000120708,TGFBI,Gene Expression,0.15387868663655863,0.0,0.0,1363,0.25727478563275596,798
ENSG00000275385,CCL18,Gene Expression,0.153850261739406,0.0,0.0,1088,0.21023898061274704,678
ENSG00000184363,PKP3,Gene Expression,0.15378405088562533,0.0,0.0,3552,0.4471378163562774,1251
ENSG00000071082,RPL31,Gene Expression,0.15338787978308216,0.0,0.0,10483,0.8206830552276755,1778
ENSG00000171863,RPS7,Gene Expression,0.15192299200792497,0.0,0.0,8678,0.7031865867388319,1689
ENSG00000183508,TENT5C,Gene Expression,0.15014271068584165,0.0,0.0,747,0.1256049582606074,443
ENSG00000062038,CDH3,Gene Expression,0.15000111686573833,0.0,0.0,2968,0.4563959851292141,1259
ENSG00000117906,RCN2,Gene Expression,0.14994167449524054,0.0,0.0,2761,0.7152393217433136,1546
ENSG00000166670,MMP10,Gene Expression,0.1491471068940498,0.0,0.0,692,0.13376908544372315,396
ENSG00000158710,TAGLN2,Gene Expression,0.14793562350291034,0.0,0.0,7316,1.1223336461364728,2087
ENSG00000149806,FAU,Gene Expression,0.14723583638675902,0.0,0.0,5975,0.4408597389422248,1263
ENSG00000161970,RPL26,Gene Expression,0.14682294115927155,0.0,0.0,11722,0.8800917931839207,1852
ENSG00000101439,CST3,Gene Expression,0.14635215222515827,0.0,0.0,10676,0.8979042815678021,1899
ENSG00000198888,MT-ND1,Gene Expression,0.1460331302364971,0.0,0.0,16889,2.2583629158517287,2658
ENSG00000198727,MT-CYB,Gene Expression,0.14589335540650497,0.0,0.0,15949,2.075797298047208,2578
ENSG00000117394,SLC2A1,Gene Expression,0.1456939909362388,0.0,0.0,3594,0.43820280028816905,1254
ENSG00000168028,RPSA,Gene Expression,0.14474734443013962,0.0,0.0,8816,0.7800689755259241,1750
ENSG00000136942,RPL35,Gene Expression,0.14354239895161192,0.0,0.0,15294,1.4176696352235614,2275
ENSG00000184009,ACTG1,Gene Expression,0.1435253934675299,0.0,0.0,20096,2.8713295430628403,2847
ENSG00000188100,FAM25A,Gene Expression,0.14308498201166933,0.0,0.0,2471,0.13558029750446912,511
ENSG00000160862,AZGP1,Gene Expression,0.14305314714492148,0.0,0.0,645,0.1024694877274269,274
ENSG00000197728,RPS26,Gene Expression,0.14252725391729273,0.0,0.0,10864,0.7658841570731473,1721
ENSG00000036672,USP2,Gene Expression,0.14250643479396513,0.0,0.0,263,0.03633155924867246,195
ENSG00000167526,RPL13,Gene Expression,0.14121721237297916,0.0,0.0,34127,4.688302957022929,3099
ENSG00000185883,ATP6V0C,Gene Expression,0.14075657004726036,0.0,0.0,8103,1.5465094754341677,2434
ENSG00000174748,RPL15,Gene Expression,0.14025462195313174,0.0,0.0,8718,0.7663682842685281,1755
ENSG00000162244,RPL29,Gene Expression,0.14015674817057555,0.0,0.0,13018,1.2587458975066845,2189
ENSG00000178363,CALML3,Gene Expression,0.13982495605811432,0.0,0.0,8342,0.6599800838171469,1522
ENSG00000170889,RPS9,Gene Expression,0.13977533705801437,0.0,0.0,8601,0.769651382170388,1715
ENSG00000197915,HRNR,Gene Expression,0.13864750328488146,0.0,0.0,964,0.05042174030744712,232
ENSG00000125691,RPL23,Gene Expression,0.13748225203196643,0.0,0.0,10446,0.944024966327227,1950
ENSG00000198918,RPL39,Gene Expression,0.13712478835733455,0.0,0.0,28787,4.67092439728942,3129
ENSG00000185664,PMEL,Gene Expression,0.13708972000022143,0.0,0.0,1293,0.06639405815178745,344
ENSG00000092068,SLC7A8,Gene Expression,0.13704202826889836,0.0,0.0,1398,0.30325109334029404,846
ENSG00000187193,MT1X,Gene Expression,0.13674364601601427,0.0,0.0,2382,0.10648186553034701,466
ENSG00000164405,UQCRQ,Gene Expression,0.13662665206295005,0.0,0.0,3410,0.20684167729726707,801
ENSG00000091409,ITGA6,Gene Expression,0.13656337437630414,0.0,0.0,2729,0.5265116002943881,1332
ENSG00000182718,ANXA2,Gene Expression,0.13618274215286705,0.0,0.0,10618,1.1748374426609687,2156
ENSG00000080824,HSP90AA1,Gene Expression,0.13537635826820602,0.0,0.0,9128,1.7582639821773087,2511
ENSG00000187689,AMTN,Gene Expression,0.1352820155904162,0.0,0.0,43,0.01200259106739552,36
ENSG00000198886,MT-ND4,Gene Expression,0.1341496859922597,0.0,0.0,27511,3.632379222824463,2972
ENSG00000198899,MT-ATP6,Gene Expression,0.1340731036008729,0.0,0.0,18335,2.636909990805133,2785
ENSG00000203782,LOR,Gene Expression,0.13397613928234497,0.0,0.0,3302,0.2326322687491908,678
ENSG00000147403,RPL10,Gene Expression,0.13301474554951362,0.0,0.0,12796,1.1145828310710144,2074
ENSG00000145879,SPINK7,Gene Expression,0.13284567540844106,0.0,0.0,85,0.0026808527832384767,29
ENSG00000073756,PTGS2,Gene Expression,0.13250258533666331,0.0,0.0,490,0.10226449977731354,345
ENSG00000156482,RPL30,Gene Expression,0.13187666126058142,0.0,0.0,10691,0.9176724432602371,1893
ENSG00000051523,CYBA,Gene Expression,0.1307982632533576,0.0,0.0,885,0.11600870787046304,554
ENSG00000270964,AC016355.1,Gene Expression,0.1306740296841635,0.0,0.0,4,3.533999957264914e-05,4
ENSG00000137154,RPS6,Gene Expression,0.12960898625924444,0.0,0.0,15747,1.5420060082789742,2347
ENSG00000169245,CXCL10,Gene Expression,0.1295448588004485,0.0,0.0,837,0.1275475613953348,450
ENSG00000134760,DSG1,Gene Expression,0.1293419409645975,0.0,0.0,8172,0.6194604010894093,1492
ENSG00000166441,RPL27A,Gene Expression,0.12770188270947327,0.0,0.0,14447,1.5178474977390097,2348
ENSG00000213927,CCL27,Gene Expression,0.12755463258483826,0.0,0.0,1374,0.07898111298398929,350
ENSG00000149273,RPS3,Gene Expression,0.12738263018926188,0.0,0.0,11617,1.0431215957875946,2023
ENSG00000137267,TUBB2A,Gene Expression,0.127327011889297,0.0,0.0,2544,0.24166145169263864,873
ENSG00000131469,RPL27,Gene Expression,0.12725602611509784,0.0,0.0,11904,1.144713330010294,2109
ENSG00000041982,TNC,Gene Expression,0.12706007238738606,0.0,0.0,1806,0.3748785082491354,1047
ENSG00000149968,MMP3,Gene Expression,0.1265289721774131,0.0,0.0,386,0.10913482139218407,314
ENSG00000084207,GSTP1,Gene Expression,0.12652689769665643,0.0,0.0,7575,0.6430302073854989,1608
ENSG00000107562,CXCL12,Gene Expression,0.1263771822606871,0.0,0.0,1005,0.22001062393511714,662
ENSG00000152661,GJA1,Gene Expression,0.12606539871750191,0.0,0.0,8780,0.8170037635968764,1731
ENSG00000114270,COL7A1,Gene Expression,0.1259804988532243,0.0,0.0,1772,0.3467040158976654,1010
ENSG00000185966,LCE3E,Gene Expression,0.12586403450714653,0.0,0.0,2412,0.1994211709015721,575
ENSG00000109971,HSPA8,Gene Expression,0.12549635549691626,0.0,0.0,9798,1.4759340044130096,2387
ENSG00000089356,FXYD3,Gene Expression,0.1240630597652246,0.0,0.0,7414,0.7406649191399309,1687
ENSG00000254772,EEF1G,Gene Expression,0.12376921848778263,0.0,0.0,6993,0.580043730641536,1508
ENSG00000206503,HLA-A,Gene Expression,0.12373994170164143,0.0,0.0,18851,2.7068889055204117,2772
ENSG00000135919,SERPINE2,Gene Expression,0.12313418376456757,0.0,0.0,785,0.17358509399100644,535
ENSG00000147604,RPL7,Gene Expression,0.12257270156518117,0.0,0.0,10998,1.156490147910886,2124
ENSG00000124466,LYPD3,Gene Expression,0.1219438493509891,0.0,0.0,5318,0.3783310212913016,1141
ENSG00000142173,COL6A2,Gene Expression,0.12189047605850568,0.0,0.0,3744,0.9193330605373478,1821
ENSG00000161016,RPL8,Gene Expression,0.12146118404228365,0.0,0.0,13697,1.3173338286626306,2246
ENSG00000196878,LAMB3,Gene Expression,0.12135980090429034,0.0,0.0,1555,0.35998711157182234,948
ENSG00000197958,RPL12,Gene Expression,0.12068545930659362,0.0,0.0,10874,0.8949031318398633,1854
ENSG00000105640,RPL18A,Gene Expression,0.12005427815274998,0.0,0.0,16775,1.777010048247618,2510
ENSG00000143631,FLG,Gene Expression,0.11998685180654449,0.0,0.0,4351,0.3226673015833878,817
ENSG00000163682,RPL9,Gene Expression,0.1191459741121255,0.0,0.0,15129,1.4372495874355047,2319
ENSG00000105193,RPS16,Gene Expression,0.1190417278390003,0.0,0.0,12470,1.12446355939545,2058
ENSG00000163191,S100A11,Gene Expression,0.1189194551617422,0.0,0.0,12225,0.8804494872606033,1834
ENSG00000141753,IGFBP4,Gene Expression,0.1188161065809531,0.0,0.0,2714,0.6955416651178772,1509
ENSG00000121742,GJB6,Gene Expression,0.1183763968026267,0.0,0.0,3897,0.3591759416236622,1122
ENSG00000129455,KLK8,Gene Expression,0.11827517764470846,0.0,0.0,3619,0.21042750240454516,774
ENSG00000196562,SULF2,Gene Expression,0.11826706175240152,0.0,0.0,1388,0.30369615960548363,915
ENSG00000140264,SERF2,Gene Expression,0.1179491752903868,0.0,0.0,7232,0.5271538918230776,1436
ENSG00000139629,GALNT6,Gene Expression,0.11794054752145579,0.0,0.0,1321,0.265769033865243,852
ENSG00000129451,KLK10,Gene Expression,0.11720988222789944,0.0,0.0,2280,0.21572519569581594,741
ENSG00000196805,SPRR2B,Gene Expression,0.11642382206908887,0.0,0.0,3517,0.23695701754740553,731
